id,species,margin1,margin2,margin3,margin4,margin5,margin6,margin7,margin8,margin9,margin10,margin11,margin12,margin13,margin14,margin15,margin16,margin17,margin18,margin19,margin20,margin21,margin22,margin23,margin24,margin25,margin26,margin27,margin28,margin29,margin30,margin31,margin32,margin33,margin34,margin35,margin36,margin37,margin38,margin39,margin40,margin41,margin42,margin43,margin44,margin45,margin46,margin47,margin48,margin49,margin50,margin51,margin52,margin53,margin54,margin55,margin56,margin57,margin58,margin59,margin60,margin61,margin62,margin63,margin64,shape1,shape2,shape3,shape4,shape5,shape6,shape7,shape8,shape9,shape10,shape11,shape12,shape13,shape14,shape15,shape16,shape17,shape18,shape19,shape20,shape21,shape22,shape23,shape24,shape25,shape26,shape27,shape28,shape29,shape30,shape31,shape32,shape33,shape34,shape35,shape36,shape37,shape38,shape39,shape40,shape41,shape42,shape43,shape44,shape45,shape46,shape47,shape48,shape49,shape50,shape51,shape52,shape53,shape54,shape55,shape56,shape57,shape58,shape59,shape60,shape61,shape62,shape63,shape64,texture1,texture2,texture3,texture4,texture5,texture6,texture7,texture8,texture9,texture10,texture11,texture12,texture13,texture14,texture15,texture16,texture17,texture18,texture19,texture20,texture21,texture22,texture23,texture24,texture25,texture26,texture27,texture28,texture29,texture30,texture31,texture32,texture33,texture34,texture35,texture36,texture37,texture38,texture39,texture40,texture41,texture42,texture43,texture44,texture45,texture46,texture47,texture48,texture49,texture50,texture51,texture52,texture53,texture54,texture55,texture56,texture57,texture58,texture59,texture60,texture61,texture62,texture63,texture64
1,Acer_Opalus,7.812,23.438,23.438,3.906,11.719,9.766,27.344,0,1.953,33.203,13.672,19.531,66.406,0,29.297,0,3.125,11.719,0,25.391,23.438,1.953,0,15.625,0,3.125,0,13.672,29.297,15.625,11.719,3.906,25.391,0,1.953,11.719,9.766,41.016,37.109,19.531,0,9.766,21.484,15.625,7.812,13.672,27.344,625,0,17.578,3.125,0,44.922,7.812,25.391,3.906,13.672,15.625,13.672,3.906,5.859,3.906,19.531,1.953,64.671,60.945,5.765,5.534,51.575,49.629,47.438,45.284,45.398,42.897,41.751,40.968,40.551,39.822,39.905,38.939,39.857,41.616,41.438,43.008,42.179,43.667,45.212,46.713,47.021,48.446,4.891,48.976,47.542,48.608,48.383,49.999,51.287,51.148,51.886,51.302,5.016,49.765,48.718,4.707,45.796,43.969,43.607,4.267,39.426,38.507,38.236,36.998,36.658,3.726,38.577,38.888,39.102,41.379,42.159,43.435,45.229,47.083,48.544,51.234,53.558,55.327,60.969,6.605,49.805,17.578,3.906,24.414,1.953,10.742,35.156,7.812,39.062,625,0,0,7.812,7.812,0,0,47.852,0,54.688,22.461,0,977,18.555,1.953,8.789,15.625,44.922,0,37.109,12.695,2.832,0,19.531,26.367,5.859,0,4.883,16.602,3.418,56.641,6.836,977,22.461,37.109,4.883,21.484,35.156,977,4.883,15.625,0,0,6.836,37.109,7.812,0,293,293,35.156,0,0,4.883,0,25.391
2,Pterocarya_Stenoptera,5.859,0,3.125,15.625,25.391,1.953,19.531,0,0,7.812,3.906,27.344,23.438,0,33.203,0,9.766,9.766,7.812,7.812,19.531,7.812,0,0,7.812,27.344,3.906,37.109,7.812,48.828,54.688,27.344,3.906,0,0,3.906,13.672,33.203,33.203,19.531,3.125,9.766,7.812,3.125,1.953,39.062,29.297,3.125,35.156,0,7.812,0,46.875,46.875,29.297,9.766,17.578,7.812,13.672,19.531,0,0,3.906,0,74.942,69.461,7.198,70.948,68.849,66.046,62.381,58.531,55.583,53.091,50.553,48.417,46.714,45.311,4.424,4.347,43.541,43.311,44.305,46.024,47.142,48.563,51.198,53.842,567,60.459,64.376,68.698,73.141,77.748,83.219,88.429,90.166,86.166,84.172,7.829,73.129,67.913,63.886,59.633,56.019,52.754,49.597,47.412,46.162,44.696,43.426,43.348,43.533,43.631,44.743,46.355,47.893,4.963,51.774,54.563,57.398,60.783,64.104,67.412,70.265,70.739,6.884,74.675,0,0,7.812,79.102,0,39.062,977,0,27.344,3.906,0,0,14.648,41.016,0,0,3.906,0,20.508,6.836,0,1.953,26.367,20.508,50.781,1.953,21.484,3.906,27.344,23.438,625,0,38.086,0,19.531,0,1.953,3.906,15.625,4.883,10.449,0,61.523,7.812,8.789,13.672,11.719,1.953,35.156,7.812,0,0,53.711,36.133,977,0,0,977,23.438,0,0,977,39.062,22.461
3,Quercus_Hartwissiana,5.859,9.766,19.531,7.812,3.906,5.859,68.359,0,0,44.922,7.812,11.719,21.484,1.953,25.391,0,9.766,11.719,7.812,5.859,41.016,1.953,0,15.625,0,9.766,1.953,9.766,9.766,15.625,5.859,0,17.578,7.812,5.859,9.766,19.531,42.969,21.484,1.953,0,5.859,15.625,9.766,11.719,11.719,3.125,10.938,0,46.875,3.125,0,35.156,0,10.547,0,15.625,15.625,19.531,1.953,0,5.859,11.719,7.812,97.311,91.025,87.015,82.612,79.573,76.342,72.933,70.181,66.375,62.857,59.769,56.993,54.563,5.262,50.005,49.443,48.438,4.902,49.106,50.741,52.463,56.266,60.433,66.326,70.833,76.308,82.441,88.587,95.649,10.303,11.021,11.779,11.926,11.178,10.486,98.242,91.935,8.624,80.939,76.113,70.237,65.397,61.421,5.739,54.917,52.426,51.092,49.375,49.475,49.702,51.032,53.295,55.168,58.667,61.046,63.864,66.957,69.733,73.939,78.929,83.566,8.824,91.113,97.073,3.906,47.852,8.789,0,97.656,5.859,3.906,10.156,32.227,0,0,66.406,7.812,6.836,0,0,57.617,0,0,27.344,0,0,70.312,0,977,0,977,3.906,35.156,15.625,27.344,0,0,8.789,15.625,0,0,11.719,977,977,0,0,0,5.859,22.461,20.508,21.484,56.641,10.742,8.789,0,0,977,0,1.543,0,5.859,977,7.812,0,0,0,20.508,293
5,Tilia_Tomentosa,0,3.906,23.438,5.859,21.484,19.531,23.438,0,13.672,17.578,1.953,19.531,1.953,3.906,35.156,0,5.859,0,1.953,3.906,39.062,9.766,0,9.766,5.859,27.344,1.953,17.578,3.906,21.484,27.344,27.344,0,3.906,11.719,3.906,5.859,44.922,56.641,27.344,15.625,7.812,17.578,29.297,1.953,42.969,85.938,37.109,29.297,7.812,13.672,0,52.734,3.125,37.109,17.578,3.906,0,1.953,3.906,3.906,0,3.906,5.859,45.312,46.534,47.288,4.827,4.919,49.293,49.205,49.209,49.584,49.657,47.516,45.005,42.754,40.137,36.968,34.233,32.813,32.421,3.678,40.371,35.028,35.503,40.249,45.438,48.424,4.984,49.318,48.478,47.597,4.786,48.605,48.653,49.708,50.098,48.963,48.148,47.339,46.315,44.443,43.519,43.475,42.133,41.779,41.002,40.942,3.979,41.049,40.334,42.358,417,42.136,43.392,4.691,52.004,5.287,48.024,44.911,43.663,43.653,43.017,42.913,43.073,43.803,44.318,23.438,977,7.812,20.508,0,0,13.672,4.883,6.836,95.703,15.625,0,0,9.766,0,0,0,0,3.418,12.695,0,33.203,293,0,5.859,19.531,12.402,0,17.578,977,16.602,9.766,6.836,977,5.859,0,977,1.953,9.668,16.602,12.695,0,36.133,55.664,0,1.953,27.344,0,6.836,17.578,4.883,0,6.836,22.461,0,977,0,0,20.508,0,0,17.578,0,47.852
6,Quercus_Variabilis,5.859,3.906,48.828,9.766,13.672,15.625,5.859,0,0,5.859,1.953,44.922,41.016,11.719,41.016,0,9.766,15.625,11.719,7.812,21.484,0,0,0,15.625,9.766,1.953,17.578,41.016,5.859,21.484,13.672,17.578,0,5.859,9.766,27.344,83.984,27.344,27.344,1.953,1.953,17.578,7.812,9.766,11.719,80.078,39.062,9.766,0,29.297,0,23.438,21.484,3.906,17.578,15.625,1.953,41.016,5.859,0,0,17.578,0,68.161,59.775,5.088,3.851,29.893,33.016,42.727,53.625,64.107,64.545,59.717,58.109,62,70.857,75.318,83.917,93.519,10.141,10.222,111,12.182,11.424,10.299,961,96.961,88.437,81.631,74.514,66.462,69.098,66.922,59.396,4.861,41.483,34.744,37.219,47.547,50.803,57.742,64.112,63.873,51.884,48.291,60.005,71.517,80.181,88.679,81.838,79.189,90.917,10.153,1.044,10.651,9.993,97.253,86.311,88.958,91.129,8.142,68.269,59.302,62.193,73.521,75.515,39.062,36.133,3.906,3.906,46.875,0,41.016,41.016,0,10.742,0,18.555,0,0,0,0,1.953,0,6.836,8.789,0,0,36.133,0,0,0,40.039,5.859,5.859,0,3.906,0,0,11.035,0,0,0,87.891,23.438,7.812,0,0,8.789,17.578,21.484,61.523,26.367,13.281,0,0,0,0,0,1.953,9.668,0,21.484,0,0,0,0,0,0,3.125
8,Magnolia_Salicifolia,70.312,9.375,33.203,1.953,0,15.234,7.812,0,3.906,27.344,58.594,0,625,1.953,0,0,27.344,3.125,3.906,21.484,1.953,1.953,0,0,1.953,15.625,0,0,21.484,1.953,0,0,3.125,0,41.016,50.781,21.484,7.812,1.953,0,0,15.625,7.812,5.859,9.766,0,1.953,3.906,0,0,37.109,0,11.719,0,0,0,23.438,17.578,13.672,1.953,0,0,50.781,1.953,39.032,34.683,32.927,29.459,32.314,27.185,23.863,29.906,36.031,32.516,29.868,29.515,26.248,25.878,33.568,27.292,24.219,27.334,27.597,31.052,34.382,32.844,27.174,23.572,28.463,30.424,32.216,32.641,38.006,43.733,38.053,31.812,25.792,18.641,13.427,97.615,78.312,64.013,11.163,17.926,13.706,20.728,28.203,29.323,34.187,39.254,44.202,5.086,43.706,389,35.349,29.048,28.834,21.683,26,2.411,17.994,12.837,90.678,12.468,17.709,25.204,32.083,39.927,26.367,293,9.766,0,89.844,1.953,10.742,23.438,12.695,0,0,22.949,293,37.109,0,0,977,0,977,14.648,0,5.859,11.719,0,7.812,0,0,977,6.836,7.812,26.367,0,0,42.969,13.672,0,0,51.758,0,4.883,0,0,977,977,23.438,43.945,9.766,40.039,4.883,8.789,0,0,0,13.672,14.551,0,41.992,0,5.859,0,0,0,1.953,13.672
10,Quercus_Canariensis,21.484,3.125,17.578,9.766,1.953,42.969,39.062,0,3.906,19.531,35.156,15.625,58.594,3.906,11.719,0,11.719,25.391,11.719,11.719,37.109,7.812,0,9.766,7.812,5.859,3.906,3.906,3.125,1.953,5.859,1.953,19.531,0,3.906,17.578,7.812,3.125,13.672,1.953,0,11.719,68.359,5.859,25.391,5.859,29.297,46.875,0,56.641,13.672,0,19.531,0,13.672,7.812,5.859,29.297,41.016,11.719,3.906,1.953,13.672,1.953,92.122,96.232,89.983,83.692,79.877,76.871,72.488,71.135,68.854,6.658,64.303,62.544,61.305,60.018,60.294,60.591,58.928,58.908,59.697,62.032,61.267,64.861,66.447,67.424,65.519,67.749,68.842,70.044,74.827,76.623,80.003,81.907,87.062,8.619,83.066,78.746,76.235,72.646,71.041,67.617,64.484,61.628,62.262,61.647,61.891,62.396,60.952,59.374,61.235,60.529,607,62.123,63.712,64.791,66.255,67.309,69.818,72.732,74.631,76.671,78.596,8.053,8.272,86.023,3.906,24.414,13.672,0,78.125,3.125,7.812,53.711,10.742,0,0,5.859,27.344,5.859,0,1.953,46.875,0,3.906,2.832,0,1.953,82.031,1.953,1.953,0,4.883,14.648,1.953,27.344,977,0,0,25.391,14.648,0,0,38.086,0,0,0,10.742,12.695,23.438,1.084,30.273,26.367,41.016,8.789,0,0,0,0,0,85.938,0,40.039,0,9.766,0,0,0,39.062,3.906
11,Quercus_Rubra,0,0,37.109,50.781,3.906,0,3.906,0,48.828,3.906,1.953,5.859,7.812,3.125,5.859,0,0,9.766,3.125,3.906,52.734,5.859,0,1.953,11.719,7.812,17.578,23.438,99.609,9.766,11.719,1.953,3.906,0,0,9.766,17.578,56.641,5.859,1.953,3.906,33.203,3.906,5.859,83.984,0,33.203,1.953,19.531,29.297,7.812,5.859,5.859,9.766,0,1.953,3.906,17.578,76.172,15.625,0,15.625,15.625,23.438,77.608,75.474,7.276,72.815,77.236,80.036,82.546,86.212,90.742,96.678,10.309,11.021,11.834,12.618,13.509,14.419,15.023,15.632,1.683,17.944,18.031,16.832,1.572,14.758,13.883,12.899,1.201,11.151,10.361,9.762,9.117,8.547,79.578,75.314,72.837,71.572,71.223,7.371,7.769,81.475,86.339,92.543,96.928,10.331,11.127,11.928,12.783,13.746,14.684,15.727,16.892,17.562,17.214,1.607,14.976,13.843,12.818,11.839,11.007,10.436,10.029,9.378,86.483,81.063,18.555,0,36.133,0,52.734,0,11.719,20.508,977,0,14.648,33.203,13.672,11.719,0,6.836,0,3.906,1.953,13.672,17.578,27.344,0,977,7.812,977,8.789,30.273,21.484,29.297,19.531,64.453,0,19.531,23.438,51.758,0,9.766,9.766,3.906,0,22.461,11.719,1.953,293,17.578,19.531,74.219,14.648,17.578,21.484,19.531,293,5.859,38.086,25.391,9.766,293,21.484,0,37.109,6.836,293,36.133
14,Quercus_Brantii,5.859,1.953,33.203,15.625,1.953,0,23.438,0,0,21.484,7.812,33.203,11.719,3.906,3.125,0,11.719,23.438,5.859,9.766,72.266,5.859,0,0,9.766,25.391,0,11.719,11.719,9.766,11.719,0,19.531,0,7.812,1.953,15.625,33.203,21.484,7.812,1.953,11.719,3.125,3.906,9.766,11.719,70.312,10.938,9.766,48.828,17.578,0,46.875,9.766,19.531,15.625,7.812,15.625,25.391,0,0,0,25.391,0,1.085,11.579,10.946,10.115,93.595,89.351,84.652,79.856,75.573,71.264,66.963,6.226,57.936,53.739,50.191,46.774,44.921,44.799,45.697,46.933,5.009,53.992,58.302,63.084,68.161,74.078,80.409,86.919,94.087,10.113,10.852,11.551,12.314,11.985,11.245,10.552,98.731,9.185,85.348,79.052,73.153,67.257,62.111,57.407,52.931,48.694,46.125,45.199,44.555,45.289,47.229,49.704,52.925,57.063,61.678,66.462,71.638,76.482,81.468,84.957,88.176,91.839,95.095,1.001,32.227,4.883,4.883,19.531,0,11.719,94.727,1.953,3.418,20.508,0,0,11.719,9.766,0,0,8.789,0,10.547,11.719,0,977,6.836,3.906,21.484,1.953,46.875,3.906,6.836,12.695,2.832,0,977,4.883,6.836,0,0,14.648,75.195,41.016,7.812,977,32.227,17.578,19.531,12.695,23.438,0,13.672,1.953,0,0,3.906,82.031,0,0,8.789,0,17.578,0,0,977,33.203,74.219
15,Salix_Fragilis,0,0,9.766,37.109,72.266,0,0,0,7.812,1.953,0,29.297,0,3.906,625,0,5.859,0,23.438,0,1.953,0,0,0,1.953,19.531,0,35.156,1.953,35.156,27.344,0,0,0,0,0,3.906,83.984,44.922,625,89.844,7.812,1.953,35.156,3.906,78.125,37.109,7.812,9.766,0,0,0,25.391,87.891,0,5.859,3.906,0,13.672,15.625,1.953,0,0,1.953,40.565,4.607,51.693,54.202,48.489,43.194,41.847,41.127,36.602,32.135,26.378,21.461,2.046,2.303,27.261,31.044,32.939,32.335,26.549,20.829,14.958,1.218,17.776,24.325,3.052,33.105,3.776,36.948,31.919,26.715,2.803,33.636,38.087,40.397,45.902,44.762,40.227,34.647,31.237,34.772,38.952,33.453,27.997,20.825,14.463,14.482,19.891,25.901,31.685,35.111,32.107,28.075,29.501,2.764,22.042,17.241,15.336,1.936,24.856,29.462,33.158,39.385,37.636,37.307,0,7.812,0,4.883,0,33.203,0,0,41.016,0,58.594,0,0,0,16.699,0,33.203,0,293,3.906,0,1.953,0,5.859,977,9.375,0,0,24.414,1.953,1.953,0,6.836,0,0,0,37.109,0,0,1.953,0,0,0,0,0,0,0,0,20.508,41.992,35.156,0,22.461,0,0,0,0,70.312,13.672,19.238,0,74.219,0,0
